CODGEO;PMIMP;DECUC_Q2;DECUC_Q1;DECUC_Q3;BREV;DECUC_D1;DECUC_D9;DECUC_D1D9;DISP_Q2;DISP_Q1;DISP_Q3;TP60;DISP_D1;DISP_D9;DISP_D1D9;PACT;PPEN;PPSOC;PIMPOT;PPAT;NOTE_FILO;C;CC2S;NOTE_CNAM;A;APPA;ARSAS;AAAH;NOTE_CNAF
QP093056;33,7;12090;7880;18620;52,9;3140;25180;8;15010;11510;19610;31,9;9100;24590;2,7;78,6;13,2;17,5;-11;1,7;0;4769;811;0;1319;449;274;101;0
QP093057;28,2;11290;7350;17080;57,1;4060;22980;5,7;14780;11640;18620;32,3;9750;23370;2,4;73,2;13,5;20,7;-9,4;2;0;1847;395;0;506;177;103;42;0
QP093058;31;11480;6100;18370;54,6;2090;24970;12;14540;10890;19480;36,7;8750;24250;2,8;71,4;16,9;19,9;-10,1;1,9;0;7028;1508;0;2016;724;441;184;0
QP093059;30,9;11100;6390;17710;58,5;2570;26430;10,3;14370;10520;18920;40,3;7940;23730;3;76,3;13,5;18,7;-11,8;3,3;0;1779;382;0;454;144;112;33;0
QP093060;34,4;12780;7490;19230;49,7;3140;27130;8,6;15010;11460;19780;33,8;8440;25790;3,1;79,9;13,5;15,6;-11,9;2,9;0;7286;1225;0;1833;576;413;134;0
QP093061;35,2;13340;7530;19720;47,4;2590;26960;10,4;15630;11730;19900;30,7;8570;25370;3;76,7;16,4;16,4;-11,7;2,2;0;3854;740;0;1099;373;255;77;0
QP093062;32,6;11940;5730;19330;53,6;1930;26040;13,5;14660;10990;19960;34,6;8620;25520;3;71,9;17,4;19,2;-11,3;2,8;0;3570;829;0;1003;335;231;87;0
QP093063;37,7;13200;7750;19480;48;4520;26180;5,8;15150;11680;19680;34,7;8600;24980;2,9;77,5;17,8;14,7;-12,1;2,1;0;2241;289;0;607;205;96;41;0
QP094001;30,8;10750;5870;17770;58,2;640;25440;39,9;13480;10030;18520;44,7;7830;23750;3;60,8;29,2;18,2;-10,1;1,9;0;1497;344;0;449;149;106;54;0
QP094002;39,5;13140;7610;20900;47,2;2550;30550;12;15490;11240;20500;33,9;8580;28100;3,3;77,1;18,8;13,9;-12,8;3;0;1532;292;0;544;188;101;49;0
QP094003;37,3;13110;8010;20010;48,5;3500;27050;7,7;15390;11720;20540;31,3;9100;25880;2,8;76,1;17,9;15,4;-11,8;2,4;0;4812;766;0;1232;418;233;140;0
