CODGEO;PMIMP;DECUC_Q2;DECUC_Q1;DECUC_Q3;BREV;DECUC_D1;DECUC_D9;DECUC_D1D9;DISP_Q2;DISP_Q1;DISP_Q3;TP60;DISP_D1;DISP_D9;DISP_D1D9;PACT;PPEN;PPSOC;PIMPOT;PPAT;NOTE_FILO;C;CC2S;NOTE_CNAM;A;APPA;ARSAS;AAAH;NOTE_CNAF
QP001001;24,3;10580;5780;17070;58,6;1620;23220;14,3;13790;10840;18100;38,9;8620;22860;2,7;53,4;32;19,8;-9,3;4,1;0;5838;1426;0;1991;714;341;227;0
QP001002;13,5;8990;4950;13790;70,8;1030;18520;17,9;12850;10190;16040;48,4;8070;19180;2,4;49;27,6;27,6;-6,6;2,4;0;1777;406;0;726;227;144;104;0
QP001003;26;12460;6350;21070;51;0;32310;;15680;11760;22350;29,4;7250;33780;4,7;78,2;19;10,7;-11,2;3,3;0;;;5;272;81;36;18;0
QP001004;25,8;11160;6770;18730;56,1;3280;27410;8,3;14480;11050;19740;37,5;8800;27000;3,1;70,3;20,1;16,6;-9,9;2,9;0;1139;153;0;299;88;48;22;0
QP001005;22,3;9270;4420;15420;66,2;260;21750;84,8;13000;10250;17280;47;8420;22180;2,6;61,9;19,6;24;-8,4;2,9;0;1555;446;0;531;179;122;58;0
QP001006;17,4;10430;6240;15470;62;2980;20670;6,9;13710;11030;17130;41,7;8990;20800;2,3;58;25,9;21,2;-7,4;2,3;0;4821;1040;0;1268;417;180;128;0
QP001007;;9820;6270;15620;64,6;2670;21040;7,9;13540;10860;16770;37,9;8800;21170;2,4;67,4;16,2;22,4;-7,9;1,9;0;1054;209;0;336;115;52;33;0
QP001008;;8520;5320;12990;73,1;1960;17610;9;12250;9910;14970;54,8;8090;18570;2,3;54,3;25,1;25,8;-7,2;2;0;906;183;0;269;77;49;38;0
QP001009;28,1;12120;7610;18730;54,1;4060;24680;6,1;14560;11790;18970;35,2;9310;24040;2,6;68,9;21,8;16,3;-9,3;2,3;0;985;140;0;278;96;51;21;0
QP002001;22,3;8530;2760;16310;64,4;0;23190;;12960;9920;17640;47,5;8250;22790;2,8;37,4;41,5;25;-8,4;4,5;0;5997;2246;0;2120;644;700;276;0
QP002002;26;11230;5110;18140;55,7;100;25840;264,8;14400;10740;18920;38;8590;24840;2,9;58,6;27,4;20,5;-10,5;4;0;2330;639;0;935;321;233;114;0
QP002003;16,7;8550;2410;15340;67;0;21150;;13350;9890;16960;43,4;8200;20830;2,5;42,9;32,4;30,1;-7;1,6;0;1566;616;0;653;217;221;95;0
QP002004;;7250;1380;13990;70,9;0;19460;;12130;9380;16110;53,8;8020;20090;2,5;46,7;24,5;33,8;-7,1;2,1;0;1669;694;0;702;213;249;88;0
QP002005;20,4;9010;2640;16550;65,2;0;24670;;12990;10030;17590;47;8060;23880;3;44,9;32;26,4;-8,5;5,2;0;1230;483;0;519;148;197;88;0
QP002006;;10720;2480;17740;58,3;0;24150;;13370;10090;18760;44,9;8310;24340;2,9;44,9;36,4;22,5;-9,1;5,3;0;787;282;0;296;93;81;61;0
QP002007;;7820;2780;16140;65,7;30;24100;708,9;12680;9880;17620;49,9;7930;23120;2,9;56,1;23,2;25,6;-10,1;5,2;0;1047;392;0;427;144;141;65;0
QP002008;;7440;1330;16200;65,2;0;23100;;12840;9770;17520;49;8230;23180;2,8;51,2;23,7;29;-8,6;4,7;0;992;389;0;407;113;147;49;0
QP002009;;6360;1040;11860;77,3;0;17360;;11830;9480;14890;58,4;7770;18960;2,4;42,1;23,9;37,9;-5,6;1,7;0;1747;788;0;731;217;279;89;0
QP002010;20;7200;2130;13930;70,4;0;21940;;12370;9340;16500;53,5;7920;21540;2,7;43,7;31,4;29,3;-8;3,6;0;1489;621;0;611;190;198;72;0
QP002011;16,2;6070;1190;12300;76;0;18930;;11590;9240;14900;60,4;7460;19680;2,6;42,2;27,5;34,2;-6,9;3;0;3903;1760;0;1446;457;556;171;0
QP002012;16;9780;4340;15500;62,9;0;20510;;13450;10380;16850;42,8;8560;20680;2,4;45,6;32,2;26,2;-6,7;2,7;0;1999;608;0;917;262;244;132;0
QP002013;12,9;7290;2400;12810;74,4;0;18480;;12060;9430;15560;55,6;7850;19260;2,5;50,6;20,7;33,2;-6,3;1,8;0;5115;2062;0;1791;609;593;178;0
QP002014;;5200;960;9560;;0;14920;;11440;9180;14090;64;7260;17930;2,5;42,8;15,6;45,3;-4,8;1,1;1;1296;577;0;452;149;147;71;0
QP002015;23,2;11150;5440;17070;56,8;1220;22440;18,4;14010;10930;18370;38,4;8690;21670;2,5;65,1;20,5;21,6;-8,5;1,3;0;1027;238;0;364;121;92;44;0
QP002016;;8220;3540;15310;65,6;100;19890;194,4;12960;9750;17110;46,6;7940;20420;2,6;60,6;16,8;28;-8,2;2,8;0;1060;392;0;343;136;101;29;0
QP002017;19;8560;3960;14150;70;430;20030;47,1;12560;9860;16050;51,5;8150;19980;2,5;56,7;21,2;27,2;-7,2;2,1;0;1754;587;0;592;230;176;57;0
QP003001;26;11320;3990;18660;55,4;0;25970;;14220;10490;19390;39;8310;25030;3;54,2;29,1;20;-10,4;7,1;0;3257;844;0;1606;466;339;227;0
QP003002;15,8;8790;3210;14830;67,8;0;20310;;12870;10420;16740;47,8;8910;20780;2,3;37,7;37,3;28,2;-6,9;3,7;1;;;5;;;;;5
QP003003;21,9;9640;3530;16540;61,3;0;21920;;13640;10400;17860;41,7;8560;21740;2,5;44,1;34,9;25;-8,4;4,4;0;3460;1189;0;1351;413;362;224;0
QP003004;23,1;11030;3780;17590;56,3;0;24750;;14160;10760;18640;39,1;8330;24040;2,9;45,3;38,6;21,1;-12,2;7,2;0;2354;666;0;955;291;236;135;0
QP003005;;8440;1800;14290;69,4;0;19330;;12550;9800;16430;51,3;8600;19980;2,3;38,6;32,9;31,1;-6;3,4;0;868;248;0;469;103;86;82;0
QP003006;;4550;430;11850;;0;17460;;11460;9190;14940;61,4;7530;19190;2,6;36,7;25,9;40,2;-5,6;2,8;0;716;355;0;265;53;120;34;0
QP004001;23,4;10660;4370;17760;57,9;0;26370;;13460;10460;19030;42;8250;25060;3;52,1;29,8;21,4;-10;6,7;0;1897;466;0;958;262;215;176;0
QP004002;27;12260;5960;19130;51,7;760;26050;34,5;14510;10920;19330;37,3;8280;25310;3,1;56,9;30,8;16,2;-10,9;7;0;2753;629;0;1061;385;240;140;0
QP004003;23;8890;4940;16080;65,6;410;22900;55,8;12720;10260;17200;49,3;7590;23480;3,1;45,8;35,3;21,9;-9,4;6,4;0;1509;458;0;456;132;124;69;0
QP005001;27,2;11200;5530;19740;53,6;850;27340;32,3;14290;10800;19980;40,5;8930;25940;2,9;52,6;33,5;18,2;-10,2;5,9;0;1090;254;0;305;114;58;45;0
QP006001;19,5;10140;4260;16430;61,4;510;23290;45,5;14110;10740;18210;40,8;8760;23100;2,6;51,3;28,2;25,9;-7,5;2,1;0;1300;292;0;480;140;88;95;0
QP006002;26,3;12070;7220;17980;52,6;2230;24370;10,9;14470;11150;18780;37,3;8500;23730;2,8;65,2;22,7;16,8;-10,4;5,7;0;3412;515;0;1032;404;164;115;0
QP006003;23,1;12380;7420;18050;51,8;2890;23640;8,2;14820;11590;18830;32,6;9280;23370;2,5;62,4;25,7;18,3;-8,6;2,2;0;4815;722;0;1432;487;219;185;0
QP006004;26;12690;7480;18660;49,6;3330;24370;7,3;15350;12310;19610;27,6;9380;23660;2,5;58,9;29,7;17,3;-8,8;2,9;0;2100;279;0;554;178;74;89;0
QP006005;27,3;11750;5920;19100;54;1750;26590;15,2;14530;10940;19430;37,8;7980;25350;3,2;70,5;17,8;18,1;-10,6;4,2;0;6615;1091;0;2152;716;344;265;0
QP006006;15,8;10470;6010;14520;66,5;2560;20080;7,9;13420;11100;17090;42,9;8700;21070;2,4;58,1;22,5;24,8;-7,1;1,7;0;1370;249;0;396;115;52;46;0
QP006007;23,6;11930;7080;17760;52,7;2590;24130;9,3;14740;11450;19040;34,5;8870;23800;2,7;69,1;19,3;18,8;-9,4;2,2;0;1407;188;0;309;101;44;41;0
QP006008;24,6;12360;7120;17710;51,4;3110;23700;7,6;15380;11740;18780;31,4;9380;23530;2,5;64,4;22,8;19,4;-8,5;1,9;0;2143;333;0;556;192;48;98;0
QP006009;;3740;1650;6170;;0;8320;;10720;7490;12140;81;4840;15460;3,2;7,5;34,2;58,4;-1,4;1,3;0;1114;114;0;918;45;98;93;0
QP006010;16,5;8630;4050;14250;68,9;0;19550;;13050;10150;16630;46,5;8000;20400;2,6;53,1;22,5;29,6;-7;1,8;0;7504;2089;0;2380;675;507;429;0
QP006011;16,1;8980;4630;15870;64,7;1160;22450;19,3;13000;10060;17540;48,2;7590;22450;3;48;30,6;25,6;-7,5;3,3;0;1060;227;0;286;90;44;37;0
QP006012;33,5;12630;6300;20600;50;1230;30000;24,5;15160;11020;20530;35,2;7970;27980;3,5;62,9;25,4;15,3;-13,5;9,9;0;4231;625;0;1416;415;198;207;0
QP006013;21,2;9530;4050;15810;63,8;80;22300;275,3;13690;10530;17700;41,8;8460;22340;2,6;58;20,4;27,3;-8,3;2,6;0;14261;3639;0;4538;1263;855;886;0
QP006014;19,1;9190;4200;14860;67,3;430;20620;48,1;13180;10140;17060;45,3;7950;21280;2,7;55,4;22,6;27,1;-7,7;2,6;0;13316;3699;0;3573;1033;731;606;0
QP006015;31,9;13170;7130;20780;47,9;1710;29480;17,2;15420;11650;21090;31,6;8430;26880;3,2;72,7;18,5;16,2;-11,6;4,2;0;1811;301;0;655;195;89;86;0
QP006016;32,8;11820;6360;20490;53,4;3090;29770;9,6;14230;10440;20400;41,4;7180;27770;3,9;65,2;26,8;13,9;-12,1;6,2;0;1629;177;0;537;189;78;76;0
QP007001;17,6;8920;4300;14860;66,2;240;21730;90,3;12760;10120;16780;49,2;7660;22090;2,9;48,4;30,5;23,7;-9,4;6,8;0;1799;554;0;772;232;191;96;0
QP007002;25;11020;5300;17130;57,1;440;23320;52,5;13900;10540;18210;41,1;7760;22960;3;55,2;29,5;18,6;-9,5;6,2;0;971;200;0;342;136;74;49;0
QP007003;;8370;3640;15360;66,8;320;23250;73,1;12530;9340;17110;50,6;7490;23340;3,1;51,2;28,2;23,7;-8,8;5,7;0;881;245;0;279;86;54;40;0
QP007004;17;9030;4120;15130;67,2;0;20710;;12560;9940;16900;50,6;8060;20830;2,6;57,9;21,2;25,2;-8,2;3,9;0;2246;669;0;884;254;204;105;0
QP007005;;8120;1360;15170;67,2;0;21910;;12860;10290;17060;48;8690;21590;2,5;43,2;32,1;28,7;-7,8;3,8;0;936;302;0;441;109;97;95;0
QP008001;17,2;8220;1730;15170;68;0;21360;;12710;9600;16430;49,5;8030;21140;2,6;42,4;32,8;29,5;-6,9;2,2;0;2160;846;0;901;253;324;109;0
QP008002;12,2;6380;950;12600;75,2;0;18450;;11560;9220;15150;59,9;7740;19030;2,5;39,6;28,5;35,4;-6,1;2,6;0;6064;2798;0;2308;605;889;301;0
QP008003;15,1;7960;2460;14440;68,6;0;19710;;12500;9630;16410;52,4;8300;20230;2,4;45,6;28;30,7;-6,9;2,6;0;1968;816;0;886;241;299;120;0
QP008004;24,6;10240;2130;17500;58,3;0;25100;;13690;10080;18290;42,1;8070;24210;3;57,1;26,3;23,3;-10,6;3,9;0;1498;565;0;680;268;207;62;0
QP008005;;9640;4550;15010;63,4;540;20750;38,8;13460;10560;17030;44,3;8710;20840;2,4;49,7;27,6;27,4;-8,1;3,4;0;1148;325;0;398;131;112;51;0
QP008006;26,5;12310;4100;19740;51;0;28150;;14310;10690;19200;37,1;8970;26820;3;55,6;28,2;19,5;-11,1;7,8;0;1034;357;0;426;126;141;53;0
QP008007;15,3;8020;990;14910;68,2;0;20830;;12560;9670;16280;51;8100;20840;2,6;47,4;25,8;31;-7,6;3,4;0;4310;1743;0;2054;599;738;242;0
QP008008;24,2;9780;4270;18250;58,1;0;26140;;13380;9880;18760;44,8;7900;24940;3,2;55,2;27,1;21,9;-10;5,8;0;1006;326;0;401;141;110;59;0
QP009001;21,1;11420;3620;18220;54,5;0;26380;;14140;10400;18990;40,1;7740;25380;3,3;53,1;27,7;21,9;-10,6;7,9;0;914;242;0;525;176;166;63;0
QP009002;24,2;11490;5040;18550;54,5;80;29590;391,9;14120;10280;18660;41,4;7650;27410;3,6;57,1;30;17,7;-11,9;7,1;0;1115;274;0;795;243;176;80;0
QP009003;21,8;9860;3510;17250;58,5;0;25610;;13540;10340;18300;42,7;8170;24570;3;52,4;28,7;22,6;-9,9;6,2;0;3683;1258;0;1714;518;528;169;0
QP010001;28,4;9400;3630;17160;61;10;26440;5288,5;14070;11090;18800;40,1;9160;25240;2,8;62;21,3;24,3;-11,4;3,8;0;1157;327;0;442;153;109;56;0
QP010002;21,7;9910;4650;16610;60,5;110;22520;199,3;13790;10850;18020;40,6;8750;21920;2,5;58,9;22,4;24,4;-8,7;3;0;2541;766;0;1126;379;251;115;0
QP010003;15,4;8260;3290;14140;70,3;0;19400;;12620;10200;15970;50,4;8360;20010;2,4;49,4;25,6;29,7;-6,6;1,9;0;7263;2701;0;2435;829;676;270;0
QP010004;;8350;3690;13430;71,8;240;18940;78,9;13180;10960;16280;45,4;8840;20160;2,3;56,7;15,5;33;-6,8;1,6;0;1249;377;0;401;145;115;40;0
QP010005;21,9;6650;1350;14720;68,6;0;21630;;12620;9940;16970;50,5;8060;21310;2,6;49,7;25,2;30,7;-8,8;3,2;0;1295;554;0;524;189;178;59;0
QP010006;14,5;6240;1070;13070;74;0;18780;;11710;9150;15370;58,1;7260;19270;2,7;44,8;26,1;33,5;-6,4;2;0;4033;1783;0;1665;474;528;160;0
QP010007;;5950;1190;11480;79,8;0;16600;;11150;9140;14550;63,4;7410;17880;2,4;40,6;25,3;37,2;-5,5;2,4;0;1571;687;0;600;171;199;64;0
QP010008;;5610;590;11180;79,4;0;17660;;11750;9170;14670;59,3;7340;18560;2,5;47,4;16;41;-5,9;1,5;0;1480;738;0;612;196;266;72;0
QP010009;;7180;2210;10970;80;0;16710;;12380;9770;15320;52,4;8090;18510;2,3;46,3;17,1;40,4;-5,2;1,4;0;1083;411;0;376;102;127;54;0
QP010010;;7920;2400;13140;72,1;0;18720;;12320;9510;15260;54;7620;19500;2,6;49,6;23,5;31,3;-7,2;2,8;0;1506;528;0;640;160;179;70;0
QP011001;19,9;10460;4370;17800;58,4;0;25510;;13960;10660;18490;40,6;8460;24720;2,9;49,2;33,2;22,1;-10,7;6,2;0;1377;328;0;801;261;184;158;0
QP011002;14,6;5620;1810;11220;78,6;0;19590;;11680;9320;15160;60,1;7500;20030;2,7;44,5;23;36,5;-7,5;3,5;0;2325;1111;0;819;243;278;116;0
QP011003;;5020;700;9990;82,3;0;16340;;11230;8850;13870;65,9;7020;18550;2,6;35,6;24,4;43;-5,3;2,3;0;1305;624;0;635;178;217;101;0
QP011004;26,4;10850;2880;19590;56;0;31800;;14000;10220;19880;40,5;8310;29320;3,5;59,6;25;21;-13,5;7,9;0;3251;972;0;1895;556;529;280;0
QP011005;;7240;2070;14980;70,3;0;23130;;12700;9800;16570;49,8;7280;23010;3,2;41,4;32,2;30,6;-7,8;3,6;0;;;5;;;;;5
QP011006;;8120;2590;14580;69,2;160;22860;143,2;12820;10260;16940;49;8600;23290;2,7;47,3;28,3;29,7;-8,4;3,1;0;954;397;0;383;118;145;59;0
QP011007;16,5;7100;2390;13330;73,1;0;20590;;12220;9650;15790;54,2;7960;20830;2,6;41,8;29,2;32;-7,8;4,8;0;2877;1095;0;1169;359;370;185;0
QP011008;20,6;9520;2290;17160;60,9;0;25960;;13390;10080;18110;44,1;7810;24950;3,2;53,7;24,6;25,1;-10,3;6,9;0;4421;1417;0;2729;822;801;425;0
QP011009;;6280;1130;12030;77;0;18880;;11910;9570;15160;56,7;7400;20120;2,7;42,5;24,6;36,3;-6,1;2,7;0;1413;658;0;646;178;260;89;0
QP011010;22,7;9720;2410;18050;59,3;0;26160;;13680;10120;18790;42,4;7540;25490;3,4;43;36,4;22,8;-10,6;8,4;0;2191;783;0;911;221;303;212;0
QP012001;;9890;5880;14970;64;1940;19500;10,1;13030;10620;16410;46;8630;19870;2,3;58,1;24,8;22,7;-7,6;2;0;1336;367;0;463;161;82;65;0
QP012002;17,5;8830;3040;14830;66,7;0;21790;;12730;9690;16480;49,1;6820;21200;3,1;52,5;26,8;24;-9,5;6,2;0;1674;457;0;773;241;182;150;0
QP013001;;7580;2170;12750;74,7;0;19050;;11730;9120;16010;57,5;6160;21350;3,5;49,3;20,5;33,4;-6,5;3,3;0;;;5;286;87;78;45;0
QP013002;;11510;7480;17560;56,4;4230;24040;5,7;15030;12000;18560;31;9590;24540;2,6;60;23;22;-7,3;2,3;0;810;71;0;299;89;43;29;0
QP013003;25,8;11210;4970;17650;54,8;180;23590;129,3;14440;11130;19000;37,3;8830;23200;2,6;59,4;24,2;22,9;-9,8;3,3;0;2097;553;0;654;195;156;73;0
QP013004;22,7;13370;8600;19090;44,7;4530;24510;5,4;15790;12770;20090;23,7;10120;23910;2,4;75,4;15,3;16,7;-9,2;1,8;0;833;117;0;267;110;33;22;0
QP013005;15,8;7800;2570;13420;72;0;19490;;12630;9930;16150;50,2;8180;20720;2,5;50,4;23,5;31,9;-7,8;2;0;2759;1103;0;1057;371;317;102;0
QP013006;;10740;6490;16830;58,8;2980;23870;8;14170;10830;18260;41;8550;22990;2,7;63,6;22,9;19,5;-8,6;2,6;0;701;132;0;230;73;32;20;0
QP013007;14,9;7590;3160;13510;71,8;0;19840;;12110;9620;16420;54,2;8070;20410;2,5;55,6;16,3;33,5;-6,6;1,2;0;;;5;;;;;5
QP013008;;8390;3140;14820;66,8;0;20580;;13070;10240;16800;42,7;8600;21700;2,5;50,8;22,6;32,1;-7,4;1,9;0;853;290;0;275;73;80;49;0
QP013009;26,6;12000;6610;19100;53,5;2470;25320;10,2;14470;11100;19310;36,3;8530;23920;2,8;66,6;21,8;18,7;-10,9;3,8;0;1897;365;0;688;214;129;73;0
QP013010;14,7;8170;3880;13440;72;50;19020;357,7;12500;9840;15850;52,5;8050;19680;2,4;45;30,3;29;-6,4;2,1;0;2169;668;0;846;241;222;79;0
QP013011;14,4;8380;4550;13800;71,4;300;19320;64,5;12490;10110;16130;52;8160;20000;2,5;51,9;24,3;28,6;-7;2,2;0;3824;1193;0;1275;420;332;119;0
QP013012;14,3;8820;4460;15140;68,1;190;20570;110,9;12930;10190;17120;47,6;8360;21190;2,5;54,4;23,6;27;-7,3;2,3;0;2280;672;0;719;246;188;65;0
QP013013;21,7;9040;5120;16250;63,4;1240;23930;19,3;12580;9380;17100;50,7;6420;23290;3,6;60,6;24,3;18;-10;7,1;0;2933;653;0;968;322;252;103;0
QP013014;23,1;11560;6090;17490;55,1;1810;23320;12,9;14400;11190;18570;35,8;8920;23030;2,6;60,1;25,4;20,8;-8,7;2,4;0;6583;1379;0;2080;714;401;233;0
QP013015;;8420;4170;13690;70,2;970;19480;20,1;12780;10350;16260;47,4;8650;20500;2,4;53,7;21,7;29,3;-7,1;2,4;0;1353;439;0;511;152;137;70;0
QP013016;21,3;10580;5980;16860;58,4;1470;22770;15,5;13940;11010;18050;39,2;8730;22700;2,6;53,2;31,4;20,9;-8,2;2,7;0;4612;1086;0;1534;507;312;187;0
QP013017;;9740;4820;14380;67,3;370;18740;50,7;12810;9570;16310;48;8040;20150;2,5;52,7;26,5;25,5;-7,2;2,5;0;;;5;;;;;5
QP013018;18,1;9330;5050;15130;65,8;980;21130;21,5;13690;10840;17280;40,6;8740;21710;2,5;59,3;18,6;27,3;-7;1,8;0;7104;1824;0;2213;799;463;239;0
QP013019;19;10990;6570;16600;59;2910;22150;7,6;14300;11820;18240;33,8;9360;22870;2,4;69,2;13,8;23,6;-8;1,4;0;1357;298;0;420;162;78;31;0
QP013020;17,3;10680;6020;16270;58,9;730;21810;30;13930;10930;17780;39,6;8880;21470;2,4;53,5;30;21,9;-7,4;2;0;1817;470;0;772;263;166;74;0
QP013021;18,8;9060;3390;15120;66,6;0;20330;;13090;10250;16880;44,9;8300;21790;2,6;51,8;23,8;28,7;-6,8;2,5;0;1233;435;0;481;143;145;48;0
QP013022;16,6;8790;4200;14630;67;0;20140;;13090;10410;16650;46,1;8550;20580;2,4;55,5;21,3;28,3;-7;1,9;0;;;5;;;;;5
QP013023;20,8;10230;5130;16350;58,9;700;21280;30,2;13860;10590;17750;42,8;8590;21380;2,5;61,4;20,4;24,5;-7,8;1,5;0;1495;470;0;529;164;158;43;0
QP013024;20,8;9740;4470;15990;62,3;0;22300;;14040;10900;17890;41,2;8630;22480;2,6;52,2;24,3;25,9;-8,3;5,9;0;1945;488;0;725;210;194;92;0
QP013025;23,5;12190;6900;18190;52,4;1170;24370;20,9;14590;11360;19220;35,5;8740;23660;2,7;52,3;34,4;18,6;-8,3;3;0;3390;776;0;1240;319;283;132;0
QP013026;29,1;14140;8780;19890;40,9;4070;27330;6,7;15700;11400;20040;30,9;8750;25780;2,9;72,5;21,1;11,7;-11,1;5,8;0;715;92;0;272;114;37;18;0
QP013027;25,2;12110;6590;18690;52,2;3200;24820;7,8;14720;10150;19580;39,9;7470;23580;3,2;66,5;22,8;14,8;-9,7;5,6;0;842;140;0;224;86;59;22;0
QP013028;19,5;10970;6710;16380;59,1;3660;21070;5,8;13920;11040;17610;39,3;8940;21500;2,4;64,7;20,8;19,2;-7,5;2,8;0;;;5;;;;;5
QP013029;13,3;8060;4060;12970;73,5;340;18040;53,2;12520;10090;15770;51,8;8280;19450;2,4;52,7;21,5;30,6;-6,3;1,5;0;3360;1074;0;1072;371;282;91;0
QP013030;24,9;12370;6940;18220;50,7;2000;23990;12;14930;11430;18940;33,7;8800;23650;2,7;64,1;24,4;18,1;-9,2;2,6;0;1588;336;0;484;167;96;35;0
QP013031;22,8;10920;4960;17220;57,4;510;22650;44,2;13980;10360;18170;41,9;7480;22580;3;62,4;22,3;20,8;-9,2;3,7;0;6067;1458;0;1914;655;478;149;0
QP013032;25,4;8060;2570;16280;65,9;0;25930;;12490;9330;17610;51,3;6780;24710;3,6;61,5;20,2;24,8;-11,4;4,9;0;104856;35662;0;38885;11114;11501;3379;0
QP013033;30,7;11020;5810;17960;57,6;1040;24530;23,6;14280;10920;18430;37;8360;23690;2,8;60,2;26,6;19,8;-10,2;3,6;0;1829;519;0;537;191;135;38;0
QP013034;33,4;9620;3570;18860;58,9;0;30010;;14100;10700;19370;42,2;8730;28080;3,2;70,6;15,2;23,5;-12,6;3,3;0;2301;728;0;716;235;197;116;0
QP013035;;8470;2910;15160;66,3;0;20370;;12850;10330;16700;48;8050;21110;2,6;54,1;23;28;-8,2;3,1;0;1704;666;0;433;154;141;36;0
QP013036;;8420;2270;14570;68,9;0;21040;;12230;9370;16120;54,6;7870;21450;2,7;53;22,7;29,4;-7,6;2,5;0;1085;429;0;314;99;113;29;0
QP013037;;9310;3940;14890;64,3;0;19690;;12970;9910;16110;47,5;7870;20780;2,6;47,1;30,7;27,9;-7,5;1,8;0;1567;548;0;525;194;148;59;0
QP013038;21,4;8740;3520;15360;65,2;0;22380;;12990;9760;17170;47,4;7890;22280;2,8;58,7;21,1;26,6;-9,1;2,7;0;5519;1780;0;1676;554;458;174;0
QP013039;17,8;9070;4190;14820;66,3;0;21120;;13020;9940;16720;46,8;8100;21290;2,6;50,4;28,4;27,1;-7,8;1,9;0;2055;662;0;706;233;202;79;0
QP013040;12,6;7740;2550;13570;71;0;19140;;12350;9730;16050;52,2;8000;19800;2,5;50,1;21,4;33,6;-6,6;1,5;0;2097;833;0;908;291;280;94;0
QP013041;;10760;5430;15960;57,5;900;21910;24,2;13980;11250;17090;38,4;9510;21710;2,3;56,7;26,6;22,8;-8,2;2,1;0;1182;357;0;318;118;54;36;0
QP013042;14,5;6180;1360;12120;76,7;0;18830;;11890;9420;15580;57,3;7740;20030;2,6;47,5;19,5;38;-6,9;1,9;0;9054;3829;0;3121;925;1074;358;0
QP013043;20,5;9220;4040;16590;63,7;620;24030;38,6;13110;10250;17490;44,4;8500;23600;2,8;53,5;27,7;25,9;-9,1;2;0;1978;703;0;589;189;148;52;0
QP013044;14,4;6470;1890;12690;74,9;0;18580;;12100;9570;15520;54,6;7810;19960;2,6;46;22;36,6;-6,6;2;0;9766;4190;0;3258;967;1071;370;0
QP013045;;6790;2110;13590;71,5;0;20250;;12800;9710;16200;48,2;7960;20450;2,6;50,9;20,6;34,3;-7,4;1,6;0;1075;421;0;340;101;111;41;0
QP013046;;8240;2500;12810;74,8;0;19040;;12290;10000;15680;53,2;8310;19800;2,4;50,3;21,4;33,9;-7,1;1,5;0;1334;482;0;487;145;135;55;0
QP013047;21,6;11060;3700;16970;57,2;350;22890;66,2;14070;10330;18080;42,7;8020;22190;2,8;59,3;23;23,7;-9,4;3,4;0;949;278;0;369;121;95;50;0
QP013048;21,4;8770;2680;15810;65,8;0;22980;;13020;9980;17320;47,2;8000;22850;2,9;51,6;27,3;26;-8,9;4;0;3251;1208;0;786;233;276;89;0
QP013049;16,6;6310;1330;13110;73,8;0;19640;;11960;9330;15840;56,2;7260;20180;2,8;49,4;20,8;34,9;-7,3;2,2;0;23754;10625;0;7619;2213;2947;820;0
QP013050;14,1;7500;2710;14010;70;0;19490;;12490;9890;16400;51,6;8040;20170;2,5;48,4;25,1;32;-7,1;1,6;0;3423;1266;0;1070;344;334;101;0
QP013051;15,6;6960;2430;13060;73,5;0;19660;;12050;9490;15810;55,4;7680;20700;2,7;52,8;18,5;34;-7,5;2,2;0;8863;3559;0;2599;734;890;289;0
QP013052;19,6;8040;2120;15240;66,6;0;22010;;12750;9880;16550;49,1;8060;22140;2,7;51,9;25,3;28,8;-8,3;2,3;0;4642;1848;0;1467;450;513;148;0
QP013053;21,5;8430;2410;16650;64,8;0;23600;;12530;9310;17750;50,8;7180;23040;3,2;53,1;26,4;26,1;-9,1;3,5;0;4903;1844;0;1694;478;603;198;0
QP013054;;5390;550;11080;79,1;0;17300;;11750;9550;14910;58,2;7360;19190;2,6;42,8;19,3;42,2;-5,8;1,5;0;1589;754;0;566;167;204;83;0
QP013055;13,5;5540;700;11590;79,1;0;17910;;11280;9130;14840;62,2;7180;19000;2,6;45,9;20,3;38,4;-6,5;1,9;0;6612;3186;0;1909;550;725;171;0
QP013056;;8230;4090;11940;;170;16160;96,8;12150;9880;15560;54,1;7630;18760;2,5;51,8;19,3;34;-6,4;1,3;1;;;5;;;;;5
QP013057;18,3;6940;2000;14160;70,6;0;20870;;11520;8720;16200;56,5;6480;21050;3,2;54,2;23,4;28,2;-8,9;3,1;0;2543;1054;0;654;186;243;66;0
QP013058;17,9;7450;1990;14530;69,6;0;21170;;11910;8920;16450;55,2;5990;21410;3,6;54,8;22,6;28,2;-8,7;3,1;0;13705;5089;0;4997;1494;1763;428;0
QP013059;26,4;11670;5830;17980;54,2;460;25500;55,2;14000;11140;18790;37,6;8980;24760;2,8;58,1;27,3;20,7;-9,8;3,7;0;1930;583;0;539;146;170;64;0
QP013060;31,1;12030;4920;20560;52,2;0;26840;;15260;10890;20480;36,3;7920;25740;3,2;65,7;22,1;20;-11,2;3,4;0;1806;552;0;561;176;190;76;0
QP013061;22,6;10930;6010;16850;57;1030;23600;22,9;14230;11350;18400;36,6;8750;23240;2,7;64,1;20,6;21,7;-8,5;2,1;0;2889;787;0;1048;353;234;80;0
QP013062;21,4;11640;7390;18470;54,8;2900;22810;7,9;14910;11880;19230;32,2;9570;22930;2,4;73,3;14,1;19,9;-8,8;1,5;1;1523;294;0;433;167;60;28;0
QP013063;17,2;9680;5580;14900;65,8;2090;20400;9,8;13370;10450;16840;44,5;8350;20710;2,5;59,8;21,9;24,2;-7,3;1,4;0;4537;1181;0;1358;412;308;136;0
